tissue_type,subtype,gene,pct_in,pct_out,log2fc,auc,present_in_census,composite
bladder,Basal-like tumor cells,DSG3,0.521806252412196,0.0604,3.777280569076538,0.7358400225639343,True,0.5809532685335866
bladder,Basal-like tumor cells,KRT5,0.4552296410652258,0.0482,3.7645907402038574,0.7068001627922058,True,0.5468460822886677
bladder,Basal-like tumor cells,KRT17,0.9482825164029333,0.4522,-1.7836487293243408,0.8376975655555725,True,0.3693745557250447
bladder,Basal-like tumor cells,LAMB3,0.9509841759938248,0.3926,-0.45748382806777954,0.7732322812080383,True,0.33026266910589236
bladder,Basal-like tumor cells,TP63,0.5934002315708221,0.1958,0.82416832447052,0.7092517018318176,True,0.3293382521475995
bladder,Basal-like tumor cells,LAMC2,0.7844461597838672,0.3202,0.3591444492340088,0.7317184805870056,True,0.3141384643300111
bladder,Basal-like tumor cells,MIA,0.0407178695484369,0.005,2.84550404548645,0.517852246761322,True,0.3059758116301769
bladder,Luminal-papillary tumor cells,CDH1,0.965625,0.162,5.344966888427734,0.956972062587738,True,0.8263026500701904
bladder,Luminal-papillary tumor cells,EHF,0.961125,0.1386,5.619840145111084,0.9498736262321472,True,0.8244038771438599
bladder,Luminal-papillary tumor cells,ELF3,0.987,0.2416,5.675384521484375,0.9540279507637024,True,0.8123023725318909
bladder,Luminal-papillary tumor cells,KLF5,0.96875,0.224,4.012688636779785,0.9404609799385071,True,0.8013187839508057
bladder,Luminal-papillary tumor cells,PPARG,0.98425,0.3342,4.657784461975098,0.9608660340309143,True,0.7987028272247314
bladder,Luminal-papillary tumor cells,CLDN4,0.98475,0.3626,6.408109664916992,0.9561690092086792,True,0.7893652312088013
bladder,Luminal-papillary tumor cells,CLDN7,0.90575,0.1302,4.240292072296143,0.9122993350028992,True,0.7849494799232484
bladder,Luminal-papillary tumor cells,TACSTD2,0.9635,0.2816,5.632072448730469,0.9335421919822693,True,0.7832137774276733
bladder,Luminal-papillary tumor cells,KRT8,0.95375,0.2566,4.965692520141602,0.9280186295509338,True,0.7818449274826049
bladder,Luminal-papillary tumor cells,KRT19,0.996,0.4298,5.564863681793213,0.9599720239639282,True,0.7812176310920715
bladder,Luminal-papillary tumor cells,KRT18,0.949125,0.2524,4.389193534851074,0.9217439889907837,True,0.776740203113556
bladder,Luminal-papillary tumor cells,AQP3,0.94275,0.2512,4.623191833496094,0.9223269820213318,True,0.7761716094589234
bladder,Luminal-papillary tumor cells,AGR2,0.9125,0.1598,5.327946662902832,0.9047471880912781,True,0.7743377743148804
bladder,Luminal-papillary tumor cells,KRT7,0.928875,0.2358,4.823001861572266,0.9138450622558594,True,0.7696910974884034
bladder,Luminal-papillary tumor cells,FABP4,0.905625,0.2214,4.980382442474365,0.9139779806137085,True,0.7680274321746826
bladder,Luminal-papillary tumor cells,TSPAN1,0.87275,0.1216,6.039361000061035,0.8951972126960754,True,0.7663877701568603
bladder,Luminal-papillary tumor cells,S100P,0.99125,0.4718,4.777144432067871,0.946471095085144,True,0.7610668522262574
bladder,Luminal-papillary tumor cells,TMEM45B,0.824625,0.0862,5.2845635414123535,0.8845750689506531,True,0.7553450551605225
bladder,Luminal-papillary tumor cells,GATA3,0.876875,0.175,4.719452381134033,0.8919147849082947,True,0.7539068279266358
bladder,Luminal-papillary tumor cells,UPK1B,0.828125,0.109,5.634723663330078,0.8837917447090149,True,0.750858371925354
bladder,Luminal-papillary tumor cells,SPINT1,0.830125,0.1096,4.872101306915283,0.8793701529502869,True,0.7476011342811585
bladder,Luminal-papillary tumor cells,CD24,0.8125,0.1324,3.48482346534729,0.8665703535079956,True,0.7292762947273255
bladder,Luminal-papillary tumor cells,RAB25,0.79025,0.0918,5.028043746948242,0.8600031137466431,True,0.7276925029182434
bladder,Luminal-papillary tumor cells,ACSL5,0.88225,0.2154,2.8563599586486816,0.8858537673950195,True,0.7276889859390259
bladder,Luminal-papillary tumor cells,LYPD3,0.811625,0.1538,4.531579494476318,0.8578870892524719,True,0.7178746714019776
bladder,Luminal-papillary tumor cells,TJP1,0.957125,0.3908,2.707279682159424,0.911583662033081,True,0.7132598978424072
bladder,Luminal-papillary tumor cells,UPK1A,0.7725,0.1126,4.6151933670043945,0.8514853119850159,True,0.7131682615089416
bladder,Luminal-papillary tumor cells,EPCAM,0.736625,0.0844,6.086878776550293,0.8321017622947693,True,0.6961264575195313
bladder,Luminal-papillary tumor cells,FOXA1,0.730375,0.0834,4.7400898933410645,0.8327232003211975,True,0.695573560256958
bladder,Luminal-papillary tumor cells,SCNN1A,0.7365,0.0896,4.036840438842773,0.832100510597229,True,0.6950603846359253
bladder,Luminal-papillary tumor cells,ERBB3,0.729,0.0964,4.395449638366699,0.8260675668716431,True,0.6873740773391723
bladder,Luminal-papillary tumor cells,GRHL2,0.72475,0.0852,3.959085464477539,0.8238509893417358,True,0.6869908391571045
bladder,Luminal-papillary tumor cells,DDR1,0.717,0.0988,4.249049663543701,0.8187562823295593,True,0.6786450735473633
bladder,Luminal-papillary tumor cells,ITGB4,0.73675,0.1204,3.51523756980896,0.8173996806144714,True,0.677189792175293
bladder,Luminal-papillary tumor cells,GPRC5A,0.976375,0.4858,2.5566585063934326,0.8946787714958191,True,0.6695238678359985
bladder,Luminal-papillary tumor cells,UPK3A,0.658,0.0888,3.503680467605591,0.7953718900680542,True,0.6501375597381592
bladder,Luminal-papillary tumor cells,MUC1,0.6665,0.115,3.7828052043914795,0.7900335788726807,True,0.6423268869400025
bladder,Luminal-papillary tumor cells,CRABP2,0.659125,0.1162,4.039022445678711,0.7855306267738342,True,0.6370095014190674
bladder,Luminal-papillary tumor cells,ERBB4,0.604,0.0842,3.0335826873779297,0.7676123380661011,True,0.6180498823738099
bladder,Luminal-papillary tumor cells,FGFR3,0.48975,0.0754,3.7996268272399902,0.7098114490509033,True,0.5507191950035095
bladder,Luminal-papillary tumor cells,AGR3,0.439875,0.0428,5.886785507202148,0.6993836760520935,True,0.5389219587230683
bladder,Luminal-papillary tumor cells,CEACAM1,0.470125,0.0758,3.5362391471862793,0.6992585062980652,True,0.5382718229198455
bladder,Luminal-papillary tumor cells,EMP2,0.908375,0.4066,1.581552505493164,0.8349834084510803,True,0.526497007112503
bladder,Luminal-papillary tumor cells,TJP3,0.425375,0.0536,3.9151570796966553,0.6871147751808167,True,0.5240468320655822
